20231222-163534 | XA 00000 0 982 126050603002
20231222-163534 | XA 00000 0 982 126050603002
20231222-163535 | XA 00000 0 982 126050603002
20231222-163535 | XA 00000 0 982 126050603002
20231222-163535 | XA 00000 0 982 126050603002
20231222-163535 | XA 00000 0 982 126050603002
20231222-163536 | XA 00000 0 982 126050603002
20231222-163536 | XA 00000 0 982 126050603002
20231222-163536 | XA 00000 0 982 126050603002
20231222-163536 | XA 00000 0 982 126050603002
20231222-163536 | XA 00000 0 982 126050603002
20231222-163537 | XA 00000 0 982 126050603002
20231222-163537 | XA 00000 0 982 126050603002
20231222-163537 | XA 00000 0 982 126050603002
20231222-163538 | XA 00000 0 982 126050603002
20231222-163538 | XA 00000 0 982 126050603002
20231222-163538 | XA 00000 0 982 126050603002
20231222-163538 | XA 00000 0 982 126050603002
20231222-163539 | XA 00000 0 982 126050603002
20231222-163539 | XA 00000 0 982 126050603002
20231222-163546 | XA 00000 0 982 126050603002
20231222-163546 | XA 00000 0 982 126050603002
20231222-163546 | XA 00000 0 982 126050603002
20231222-163547 | XA 00000 0 982 126050603002
20231222-163547 | XA 00000 0 982 126050603002
20231222-163547 | XA 00000 0 982 126050603002
20231222-163547 | XA 00000 0 982 126050603002
20231222-163548 | XA 00000 0 982 126050603002
20231222-163548 | XA 00000 0 982 126050603002
20231222-163548 | XA 00000 0 982 126050603002
20231222-163548 | XA 00000 0 982 126050603002
20231222-163548 | XA 00000 0 982 126050603002
20231222-163549 | XA 00000 0 982 126050603002
20231222-163549 | XA 00000 0 982 126050603002
20231222-163549 | XA 00000 0 982 126050603002
20231222-163549 | XA 00000 0 982 126050603002
20231222-163550 | XA 00000 0 982 126050603002
20231222-163550 | XA 00000 0 982 126050603002
20231222-163550 | XA 00000 0 982 126050603002
20231222-163551 | XA 00000 0 982 126050603002
20231222-163551 | XA 00000 0 982 126050603002
20231222-163604 | XA 00000 0 982 126050603002
20231222-163604 | XA 00000 0 982 126050603002
20231222-163604 | XA 00000 0 982 126050603002
20231222-163604 | XA 00000 0 982 126050603002
20231222-163604 | XA 00000 0 982 126050603002
20231222-163605 | XA 00000 0 982 126050603002
20231222-163605 | XA 00000 0 982 126050603002
20231222-163605 | XA 00000 0 982 126050603002
20231222-163605 | XA 00000 0 982 126050603002
20231222-163606 | XA 00000 0 982 126050603002
20231222-163606 | XA 00000 0 982 126050603002
20231222-163606 | XA 00000 0 982 126050603002
20231222-163606 | XA 00000 0 982 126050603002
20231222-163607 | XA 00000 0 982 126050603002
20231222-163607 | XA 00000 0 982 126050603002
20231222-163607 | XA 00000 0 982 126050603002
20231222-163607 | XA 00000 0 982 126050603002
20231222-163607 | XA 00000 0 982 126050603002
20231222-163608 | XA 00000 0 982 126050603002
20231222-163608 | XA 00000 0 982 126050603002
20231222-163608 | XA 00000 0 982 126050603002
20231222-163608 | XA 00000 0 982 126050603002
20231222-163609 | XA 00000 0 982 126050603002
20231222-163609 | XA 00000 0 982 126050603002
20231222-163609 | XA 00000 0 982 126050603002
20231222-163609 | XA 00000 0 982 126050603002
20231222-163610 | XA 00000 0 982 126050603002
20231222-163610 | XA 00000 0 982 126050603002
20231222-163611 | XA 00000 0 982 126050603002
20231222-163611 | XA 00000 0 982 126050603002
20231222-163611 | XA 00000 0 982 126050603002
20231222-163611 | XA 00000 0 982 126050603002
20231222-163612 | XA 00000 0 982 126050603002
20231222-163612 | XA 00000 0 982 126050603002
20231222-163612 | XA 00000 0 982 126050603002
20231222-163612 | XA 00000 0 982 126050603002
20231222-163613 | XA 00000 0 982 126050603002
20231222-163613 | XA 00000 0 982 126050603002
20231222-163613 | XA 00000 0 982 126050603002
20231222-163613 | XA 00000 0 982 126050603002
20231222-163614 | XA 00000 0 982 126050603002
20231222-163614 | XA 00000 0 982 126050603002
20231222-163614 | XA 00000 0 982 126050603002
20231222-163615 | XA 00000 0 982 126050603002
20231222-163615 | XA 00000 0 982 126050603002
20231222-163615 | XA 00000 0 982 126050603002
20231222-163615 | XA 00000 0 982 126050603002
20231222-163616 | XA 00000 0 982 126050603002
